"","topic","value","filename"
"253","0",0.0162035433610795,"MB_1905_Feb"
"254","0",0.0273511931856884,"MB_1905_Jan"
"255","0",0.0284481903518428,"MB_1905_July"
"256","0",0.082449125891505,"MB_1905_Jun"
"257","0",0.0612847647888452,"MB_1905_March"
"258","0",0.0245249756866269,"MB_1905_May"
"259","0",0.00686025735012685,"MB_1905_Nov"
"260","0",0.00413607668300671,"MB_1905_Oct"
"261","0",0.016838691916615,"MB_1905_Sept"
"262","0",0.0298112497427875,"MB_1906_April"
"263","0",0.0637010513980097,"MB_1906_August"
"264","0",0.0231774886510289,"MB_1906_Dec"
"265","0",0.00174854830444173,"MB_1906_Feb"
"266","0",0.0182314868605498,"MB_1906_Jan"
"267","0",0.00878421911277892,"MB_1906_July"
"268","0",0.00964506559179533,"MB_1906_June"
"269","0",0.00314549940521077,"MB_1906_March"
"270","0",0.0313193367570592,"MB_1906_May"
"271","0",0.0160265136529385,"MB_1906_Nov"
"272","0",0.016536169021524,"MB_1906_Oct"
"273","0",0.0204994049989085,"MB_1906_September"
"274","0",0.0165106637608429,"MB_1907_Apr"
"275","0",0.0309648933134173,"MB_1907_Dec"
"276","0",0.0301027749507705,"MB_1907_Feb"
"277","0",0.0211739467322402,"MB_1907_Jan"
"278","0",0.0107720364334093,"MB_1907_June"
"279","0",0.014386570150029,"MB_1907_March"
"280","0",0.0515530683365258,"MB_1907_May"
"281","0",0.0264276134249863,"MB_1907_Nov"
"282","0",0.0212483347734972,"MB_1907_Oct"
"283","0",0.0302934116037609,"MB_1907_Sept"
"284","0",0.0196166425886807,"MB_1908_Apr"
"285","0",0.00603590579443389,"MB_1908_Dec"
"286","0",0.0339562863037515,"MB_1908_Feb"
"287","0",0.0422534259202726,"MB_1908_Jan"
"288","0",0.031337306636676,"MB_1908_June"
"289","0",0.0231191085632513,"MB_1908_May"
"290","0",0.0239461953587916,"MB_1908_Nov"
"291","0",0.0102106181652602,"MB_1908_Oct"
"292","0",0.0287352768927843,"MB_1908_Sept"
"293","0",0.0390002498973735,"MB_1909_April"
"294","0",0.0467509485441834,"MB_1909_Dec"
"295","0",0.0388713764314556,"MB_1909_Feb"
"296","0",0.0154056608387799,"MB_1909_Jan"
"297","0",0.0333923895370007,"MB_1909_June"
"298","0",0.0129383076152928,"MB_1909_March"
"299","0",0.0480455523393414,"MB_1909_May"
"300","0",0.0329106732580897,"MB_1909_Nov"
"301","0",0.0390461273806102,"MB_1909_Oct"
